№№ название тара ценa расположение количество
80 Намезия с9 80 т2 500 0 однол.
81 Остеоспермум с9 100 т2 500 0 однол.
82 Портулак с9 70 т2 500 0 однол.
83 Петуния с9 30 т2 3000 0 однол.
84 Платикадон с9 80 т2 250 0 однол.
85 Плектрантус с9 80 т1 200 0 однол.
86 Подсолнух_декор с9 40 т2 200 0 однол.
87 Плющ с9 100 т1 300 0 однол.
88 Сальвия к54 35 т2 500 0 однол.
89 Санвиталия с9 100 т2 300 0 однол.
90 Седум_очиток с9 150 т1 300 0 однол.
91 Скабиоза с9 120 т2 200 0 однол.
92 Сурфиния с9 80 т2 300 0 однол.
93 Сцевола с9 100 т2 200 0 однол.
94 Торения с9 120 т2 200 0 однол.
95 Фуксия с9 100 т1 500 40 однол.
96 Хризантема_ромашка с9 40 т2 100 0 однол.
97 Целозия с9 40 т2 200 0 однол.
98 Цинерария к6,54 25 т2 3200 0 однол.
99 Цинния к6 35 т2 500 0 однол.
100 Эурфобия с9 100 т2 200 0 однол.
101 Мелиса с9 70 т1 200 0 прян.
102 Мелиса ка23 300 т1 100 0 прян.
103 Мята с9 100 т1 200 0 прян.
104 Мята ка23 300 т1 200 0 прян.
105 Розмарин с9 100 т1 200 0 прян.
106 Розмарин г1 300 т1 200 0 прян.
107 Чабер с9 120 т1 200 0 прян.
108 Чабер г1,5 300 т1 200 0 прян.
109 Чабрец_тимьян с9 150 т1 200 0 прян.
110 Шалфей с9 80 т1 200 0 прян.
111 Шалфей ка23 300 т1 200 0 прян.
112 Эстрагон с9 100 т1 200 0 прян.
113 Базилик кс6 40 т2 200 0 рассада
114 Горчица кс9 25 т2 200 0 рассада
115 Кинза кс9 25 т2 200 0 рассада
116 Мангольд кс9 25 т2 1000 0 рассада
117 Петрушка_листовая кс9 25 т2 1000 0 рассада
118 Пертушка_кудрявая кс9 25 т2 1000 0 рассада
119 Руккола кс9 25 т2 1000 0 рассада
120 Салат кс6 25 т2 1000 0 рассада
121 Сельдерей_корневой кс9 25 т2 1000 0 рассада
122 Сельдерей_листовой кс9 25 т2 1000 0 рассада
123 Сельдерей_черешковый кс9 25 т2 1000 0 рассада
124 Укроп кс9 25 т2 1000 0 рассада
125 Шпинат кс6 25 т2 1000 0 рассада
126 Щавель кс6 25 т2 1000 0 рассада
127 Арбуз кс54 35 т2 1000 0 рассада
128 Баклажан_Алмаз кс6,54 35 т2 500 0 рассада
128 Баклажан_Валентина кс6,54 35 т2 750 0 рассада
128 Баклажан_Чёрн.кр. кс6,54 35 т2 500 0 рассада
128 Баклажан_Эпик кс6,54 35 т2 750 0 рассада
129 Дыня кс6,54 35 т2 1000 0 рассада
130 Кабачок кс54 35 т2 1000 0 рассада
131 Капуста_белокочанная кс9 30 т2 1000 0 рассада
132 Капуста_брокколи кс9 30 т2 1000 0 рассада
133 Капуста_цветная кс9 30 т2 1000 0 рассада
134 Капуста_разная кс 30 т2 1000 0 рассада
135 Кукуруза кс100 35 т2 1000 0 рассада
136 Лук_эксибишен ящ 10 т2 1000 0 рассада
137 Огурец кс6 40 тр 5000 0 рассада
138 Патиссон кс54 35 т2 1000 0 рассада
139 Перец кс6,54 35 т2 5000 0 рассада
139 Перец_Кр_толстяк кс6,54 35 т2 500 0 рассада
139 Перец_Бар_рог кс6,54 35 т2 500 0 рассада
139 Перец_Комбат кс6,54 35 т2 500 0 рассада
139 Перец_Атлант кс6,54 35 т2 500 0 рассада
139 Перец_Джипси кс6,54 35 т2 500 0 рассада
139 Перец_Соланор кс6,54 35 т2 500 0 рассада
139 Перец_Индиго кс6,54 35 т2 500 0 рассада
139 Перец_Помпео кс6,54 35 т2 300 0 рассада
140 Свекла кс9 25 т2 1000 0 рассада
141 Томат кс10,54 35 т2 5000 0 рассада
142 Томат с9 80 т2 100 0 рассада
143 Тыква кс54 35 т2 1000 0 рассада
144 Роза_англ,ч.г. г3 500 п2-3 500 0 многол.
145 Раза_плет,флор г3 500 п2-3 100 0 многол.
146 Пион_разный г3,г5 650-2450 п2-3 100 0 многол.
147 Торф 250л 1300 - 100 0
148 Торф 70л 500 - 100 0
149 Химия - 1 тп 1000 0
150 Садовый_инвентарь - - тп 1000 0
151 Овощи_фрукты - - тп 100 0
153 Флокс г3 400 п2-3 100
154 Хоста г3 400 п2-3 500 0
155 Черенки кс112 40 тр 2000 0
156 Черенки кс50 50 тр 1000 0
157 Лук_севок 1кг 250 тп 20 0
158 Коробка - 100 тп 200 0
159 Огурцы 1кг 250 тз - 0
160 Яблоня г5 1000 п3- 20 0 дер.
161 Груша г5 1000 п3- 20 0 дер.
162 Слива г5 1000 п3- 20 0 дер.
163 Сирнь г5 1000 п3- 20 0 дер.
164 Калина г5 700 п3- 20 0 дер.
165 Туя г3 700 п3- 20 0 дер.
166 Туя г5 1000 п3- 20 0 дер.
167 Малина г1,5 400 п3- 100 0 куст.
168 Смородина г2 400 п3- 100 0 куст.
169 Спирея г2 400 п3- 200 0 куст.
170 Лапчатка г2 350 п3- 100 0 куст.
