№№ название тара расположение количество ценa
128 Баклажан_Эпик кс6,54 т2 750 35 0 рассада
129 Дыня кс6,54 т2 1000 35 0 рассада
130 Кабачок кс54 т2 1000 35 0 рассада
131 Капуста_белокочанная кс9 т2 1000 30 0 рассада
132 Капуста_брокколи кс9 т2 1000 30 0 рассада
133 Капуста_цветная кс9 т2 1000 30 0 рассада
134 Капуста_разная кс т2 1000 30 0 рассада
135 Кукуруза кс100 т2 1000 35 0 рассада
136 Лук_эксибишен ящ т2 1000 10 0 рассада
137 Огурец кс6 тр 5000 40 0 рассада
138 Патиссон кс54 т2 1000 35 0 рассада
139 Перец кс6,54 т2 5000 35 0 рассада
139 Перец_Кр_толстяк кс6,54 т2 500 35 0 рассада
139 Перец_Бар_рог кс6,54 т2 500 35 0 рассада
139 Перец_Комбат кс6,54 т2 500 35 0 рассада
139 Перец_Атлант кс6,54 т2 500 35 0 рассада
139 Перец_Джипси кс6,54 т2 500 35 0 рассада
139 Перец_Соланор кс6,54 т2 500 35 0 рассада
139 Перец_Индиго кс6,54 т2 500 35 0 рассада
139 Перец_Помпео кс6,54 т2 300 35 0 рассада
140 Свекла кс9 т2 1000 25 0 рассада 
141 Томат кс10,54 т2 5000 35 0 рассада
142 Томат с9 т2 100 80 0 рассада
143 Тыква кс54 т2 1000 35 0 рассада
144 Роза_англ,ч.г. г3 п2-3 500 500 0 многол.
145 Раза_плет,флор г3 п2-3 100 500 0 многол.
146 Пион_разный г3,г5 п2-3 100 650-2450 0 многол. 
147 Торф 250л - 100 1300 0 
148 Торф 70л - 100 500 0
149 Химия - тп 1000 1 0 
150 Садовый_инвентарь - тп 1000 - 0 
151 Овощи_фрукты - тп 100 - 0
153 Флокс г3 п2-3 100 400  
154 Хоста г3 п2-3 500 400 0 
155 Черенки кс112 тр 2000 40 0 
156 Черенки кс50 тр 1000 50 0 
157 Лук_севок 1кг тп 20 250 0
158 Коробка - тп 200 100 0 
159 Огурцы 1кг тз - 250 0
160 Яблоня г5 п3- 20 1000 0 дер. 
161 Груша г5 п3- 20 1000 0 дер.
162 Слива г5 п3- 20 1000 0 дер.
163 Сирнь г5 п3- 20 1000 0 дер.
164 Калина г5 п3- 20 700 0 дер.
165 Туя г3 п3- 20 700 0 дер.
166 Туя г5 п3- 20 1000 0 дер.
167 Малина г1,5 п3- 100 400 0 куст.
168 Смородина г2 п3- 100 400 0 куст.
169 Спирея г2 п3- 200 400 0 куст.
170 Лапчатка г2 п3- 100 350 0 куст.
