№№ название тара ценa количество расположение
98 Цинерария к6,54 25 3200 т2 0 однол.
99 Цинния к6 35 500 т2 0 однол.
100 Эурфобия с9 100 200 т2 0 однол.
101 Мелиса с9 70 200 т1 0 прян.
102 Мелиса ка23 300 100 т1 0 прян.
103 Мята с9 100 200 т1 0 прян.
104 Мята ка23 300 200 т1 0 прян.
105 Розмарин с9 100 200 т1 0 прян.
106 Розмарин г1 300 200 т1 0 прян.
107 Чабер с9 120 200 т1 0 прян.
108 Чабер г1,5 300 200 т1 0 прян.
109 Чабрец_тимьян с9 150 200 т1 0 прян.
110 Шалфей с9 80 200 т1 0 прян.
111 Шалфей ка23 300 200 т1 0 прян.
112 Эстрагон с9 100 200 т1 0 прян.
113 Базилик кс6 40 200 т2 0 рассада
114 Горчица кс9 25 200 т2 0 рассада
115 Кинза кс9 25 200 т2 0 рассада
116 Мангольд кс9 25 1000 т2 0 рассада
117 Петрушка_листовая кс9 25 1000 т2 0 рассада
118 Пертушка_кудрявая кс9 25 1000 т2 0 рассада
119 Руккола кс9 25 1000 т2 0 рассада
120 Салат кс6 25 1000 т2 0 рассада
121 Сельдерей_корневой кс9 25 1000 т2 0 рассада
122 Сельдерей_листовой кс9 25 1000 т2 0 рассада
123 Сельдерей_черешковый кс9 25 1000 т2 0 рассада
124 Укроп кс9 25 1000 т2 0 рассада
125 Шпинат кс6 25 1000 т2 0 рассада
126 Щавель кс6 25 1000 т2 0 рассада
127 Арбуз кс54 35 1000 т2 0 рассада
128 Баклажан_Алмаз кс6,54 35 500 т2 0 рассада
128 Баклажан_Валентина кс6,54 35 750 т2 0 рассада
128 Баклажан_Чёрн.кр. кс6,54 35 500 т2 0 рассада
128 Баклажан_Эпик кс6,54 35 750 т2 0 рассада
129 Дыня кс6,54 35 1000 т2 0 рассада
130 Кабачок кс54 35 1000 т2 0 рассада
131 Капуста_белокочанная кс9 30 1000 т2 0 рассада
132 Капуста_брокколи кс9 30 1000 т2 0 рассада
133 Капуста_цветная кс9 30 1000 т2 0 рассада
134 Капуста_разная кс 30 1000 т2 0 рассада
135 Кукуруза кс100 35 1000 т2 0 рассада
136 Лук_эксибишен ящ 10 1000 т2 0 рассада
137 Огурец кс6 40 5000 тр 0 рассада
138 Патиссон кс54 35 1000 т2 0 рассада
139 Перец кс6,54 35 5000 т2 0 рассада
139 Перец_Кр_толстяк кс6,54 35 500 т2 0 рассада
139 Перец_Бар_рог кс6,54 35 500 т2 0 рассада
139 Перец_Комбат кс6,54 35 500 т2 0 рассада
139 Перец_Атлант кс6,54 35 500 т2 0 рассада
139 Перец_Джипси кс6,54 35 500 т2 0 рассада
139 Перец_Соланор кс6,54 35 500 т2 0 рассада
139 Перец_Индиго кс6,54 35 500 т2 0 рассада
139 Перец_Помпео кс6,54 35 300 т2 0 рассада
140 Свекла кс9 25 1000 т2 0 рассада
141 Томат кс10,54 35 5000 т2 0 рассада
142 Томат с9 80 100 т2 0 рассада
143 Тыква кс54 35 1000 т2 0 рассада
144 Роза_англ,ч.г. г3 500 500 п2-3 0 многол.
145 Раза_плет,флор г3 500 100 п2-3 0 многол.
146 Пион_разный г3,г5 650-2450 100 п2-3 0 многол.
147 Торф 250л 1300 100 - 0
148 Торф 70л 500 100 - 0
149 Химия - 1 1000 тп 0
150 Садовый_инвентарь - - 1000 тп 0
151 Овощи_фрукты - - 100 тп 0
153 Флокс г3 400 100 п2-3
154 Хоста г3 400 500 п2-3 0
155 Черенки кс112 40 2000 тр 0
156 Черенки кс50 50 1000 тр 0
157 Лук_севок 1кг 250 20 тп 0
158 Коробка - 100 200 тп 0
159 Огурцы 1кг 250 - тз 0
160 Яблоня г5 1000 20 п3- 0 дер.
161 Груша г5 1000 20 п3- 0 дер.
162 Слива г5 1000 20 п3- 0 дер.
163 Сирнь г5 1000 20 п3- 0 дер.
164 Калина г5 700 20 п3- 0 дер.
165 Туя г3 700 20 п3- 0 дер.
166 Туя г5 1000 20 п3- 0 дер.
167 Малина г1,5 400 100 п3- 0 куст.
168 Смородина г2 400 100 п3- 0 куст.
169 Спирея г2 400 200 п3- 0 куст.
170 Лапчатка г2 350 100 п3- 0 куст.
